Name,Cmpg,Hmpg,Eng,Cyl,Vol,Drive,Class
Chevrolet Cruze 1.8L,22,35,1.8,4,1.10,F,CO
Chevrolet Cruze ECO 1.4L,26,37,1.4,4,1.10,F,CO
Chevrolet Impala FFV 3.5L,19,29,3.5,6,1.24,F,LA
Chevrolet Impala FFV 3.9L,17,27,3.9,6,1.24,F,LA
Chevrolet Malibu 2.4L,22,33,2.4,4,1.11,F,MI
Chevrolet Malibu 3.6L,17,26,3.6,6,1.11,F,MI
Chevrolet Malibu FFV 2.4L,22,33,2.4,4,1.11,F,MI
Chrysler 200 2.4L,21,30,2.4,4,1.15,F,MI
Chrysler 200 Convertible 2.4L,20,29,2.4,4,1.01,F,CO
Chrysler 200 Convertible FFV 3.6L,19,29,3.6,6,1.01,F,CO
Chrysler 200 FFV 3.6L,19,29,3.6,6,1.15,F,MI
Chrysler 300 5.7L,16,25,5.7,8,1.22,R,LA
Chrysler 300 Awd 5.7L,15,23,5.7,8,1.22,A,LA
Chrysler 300 FFV 3.6L,18,27,3.6,6,1.22,R,LA
Dodge Avenger 2.4L,21,30,2.4,4,1.14,F,MI
Dodge Avenger FFV 3.6L,19,29,3.6,6,1.14,F,MI
Dodge Caliber 2.4L,22,27,2.4,4,1.12,F,SW
Dodge Caliber 2L,23,27,2.0,4,1.12,F,SW
Dodge Challenger 5.7L,16,25,5.7,8,1.07,R,CO
Dodge Challenger FFV 3.6L,18,27,3.6,6,1.07,R,CO
Dodge Challenger SRT8 6.4L,14,22,6.4,8,1.07,R,CO
Dodge Charger 5.7L,16,25,5.7,8,1.20,R,LA
Dodge Charger Awd 5.7L,15,23,5.7,8,1.20,A,LA
Dodge Charger FFV 3.6L,18,27,3.6,6,1.20,R,LA
Ford Crown Victoria FFV 4.6L,16,24,4.6,8,1.28,R,LA
Ford Fiesta Fwd 1.6L,29,38,1.6,4,0.97,F,SC
Ford Fiesta SFE Fwd 1.6L,29,40,1.6,4,0.97,F,SC
Ford Focus Fwd 2L,25,34,2.0,4,1.07,F,CO
Ford Fusion Awd 3.5L,17,24,3.5,6,1.16,A,MI
Ford Fusion Awd FFV 3L,18,26,3.0,6,1.17,A,MI
